Account_Type,count,sum,mean,median,std
col_11,25,34496063.0,1379842.52,1384325.0,245461.74886954037
col_4,25,15575774.0,623030.96,623938.0,96561.34573915524
col_5,25,2559425.0,102377.0,107168.0,12720.604247309433
col_10,25,1936639.0,77465.56,69304.0,22871.07381439126
col_9,25,449752.0,17990.08,17521.0,5121.838479491519
col_7,25,147117.0,5884.68,5797.0,1032.9980525957767
col_8,25,84272.0,3370.88,3477.0,686.2984239138733
col_6,25,44326.0,1773.04,1547.0,562.5638097140626
